Gene Identifier,Gene Symbol,Allele,Strain Identifier,Temp,Vph1_Num_cells_secondary,Vph1_Num_wells_secondary,Vph1_penetrance_secondary,Vph1_class E_secondary,Vph1_class G_secondary,Vph1_enlarged_secondary,Vph1_fragmented_secondary,Vph1_multilobed_secondary,Vph1_V-ATPase defect_secondary,Vph1_WT_secondary,Vph1_none_secondary,Snf7_Num_cells_secondary,Snf7_Num_wells_secondary,Snf7_penetrance_secondary,Snf7_condensed_secondary,Snf7_fragmented_secondary,Snf7_membrane_secondary,Snf7_WT_secondary,Snf7_none_secondary,Sla1_Num_cells_secondary,Sla1_Num_wells_secondary,Sla1_penetrance_secondary,Sla1_aggregate_secondary,Sla1_decreased patch number_secondary,Sla1_depolarized patches_secondary,Sla1_increased patch number_secondary,Sla1_WT_secondary,Sla1_none_secondary,Sac6_Num_cells_secondary,Sac6_Num_wells_secondary,Sac6_penetrance_secondary,Sac6_aggregate_secondary,Sac6_bright patches_secondary,Sac6_decreased patch number_secondary,Sac6_depolarized patches_secondary,Sac6_WT_secondary,Sac6_none_secondary
YLR053C,,,DMA3133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR050C,,,DMA3134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR049C,,,DMA3135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR048W,RPS0B,,DMA3136,,1016,2,16.4,0.007,0.016,0.01,0.02,0.112,0,0.836,0,1452,2,95.5,0.013,0.041,0.886,0.045,0.014,537,2,24.6,0.054,0.06,0.093,0.035,0.754,0.004,324,2,33.6,0.003,0.019,0.059,0.25,0.664,0.006
YLR047C,FRE8,,DMA3137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR046C,,,DMA3138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR044C,PDC1,,DMA3139,,1917,2,8.3,0.008,0.012,0.01,0.023,0.028,0.002,0.917,0,182,1,39.6,0.082,0.176,0.066,0.604,0.071,1538,2,26.1,0.023,0.143,0.073,0.014,0.739,0.007,726,2,14.3,0.003,0.021,0.076,0.04,0.857,0.004
YBR169C,SSE2,,DMA314,,1179,2,23.8,0.01,0.007,0.038,0.087,0.09,0.005,0.762,0.001,927,2,25,0.019,0.195,0.015,0.75,0.02,430,2,23.7,0.021,0.142,0.06,0.014,0.763,0,769,2,18.1,0.008,0.077,0.03,0.061,0.819,0.005
YLR043C,TRX1,,DMA3140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR042C,,,DMA3141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR041W,,,DMA3142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR040C,AFB1,,DMA3143,,1072,2,19.8,0.011,0.01,0.006,0.043,0.123,0.005,0.802,0,451,2,23.3,0.013,0.124,0.064,0.767,0.031,488,2,20.3,0.029,0.105,0.031,0.033,0.797,0.006,1061,2,13.5,0.006,0.059,0.035,0.031,0.865,0.004
YLR065C,ENV10,,DMA3145,,1241,2,11.3,0.007,0.028,0.003,0.044,0.029,0.002,0.887,0,1196,2,22.5,0.058,0.105,0.044,0.775,0.018,710,2,40.6,0.025,0.313,0.054,0.008,0.594,0.006,769,2,18.1,0.004,0.057,0.04,0.073,0.819,0.007
YLR064W,PER33,,DMA3146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR063W,BMT6,,DMA3147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR062C,BUD28,,DMA3148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR061W,RPL22A,,DMA3149,,1167,2,16.7,0.005,0.006,0.033,0.063,0.051,0.009,0.833,0,945,2,26.6,0.055,0.127,0.051,0.734,0.033,814,2,24.1,0.036,0.097,0.082,0.021,0.759,0.005,888,2,15.1,0.011,0.062,0.033,0.042,0.849,0.003
YBR168W,PEX32,pex32-supp1,DMA315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR059C,REX2,,DMA3150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR058C,SHM2,,DMA3151,,40,2,67.5,0,0,0.125,0.025,0.425,0.1,0.325,0,70,2,40,0.343,0.057,0,0.6,0,22,1,81.8,0.091,0.227,0.5,0,0.182,0,17,1,58.8,0.059,0.059,0.176,0.294,0.412,0
YLR057W,MNL2,,DMA3152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR056W,ERG3,,DMA3153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR055C,SPT8,,DMA3154,,826,2,9.2,0.013,0.027,0.002,0.03,0.015,0.005,0.908,0,565,2,33.1,0.032,0.191,0.08,0.669,0.028,261,2,36.4,0.042,0.153,0.134,0.031,0.636,0.004,667,2,27.9,0.022,0.07,0.07,0.096,0.721,0.019
YLR054C,OSW2,,DMA3155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR085C,ARP6,,DMA3157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR084C,RAX2,,DMA3158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR083C,EMP70,,DMA3159,,1780,2,9.7,0.008,0.025,0.007,0.019,0.037,0.001,0.903,0,731,2,29.1,0.027,0.176,0.062,0.709,0.026,798,2,23.1,0.036,0.079,0.091,0.023,0.769,0.001,952,2,18.2,0.005,0.042,0.038,0.088,0.818,0.008
YBR166C,TYR1,,DMA316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR082C,SRL2,,DMA3160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR081W,GAL2,,DMA3161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR080W,EMP46,,DMA3162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR079W,SIC1,,DMA3163,,230,2,23,0.004,0.013,0.026,0.017,0.152,0.017,0.77,0,229,2,31,0.074,0.183,0.039,0.69,0.013,191,2,47.6,0.031,0.178,0.257,0.01,0.524,0,320,2,25.6,0.009,0.025,0.075,0.141,0.744,0.006
YLR077W,FMP25,,DMA3164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR073C,RFU1,,DMA3165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR072W,,,DMA3166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR070C,XYL2,,DMA3167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR165W,UBS1,,DMA317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR164C,ARL1,,DMA318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR098C,CHA4,,DMA3182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR097C,HRT3,,DMA3183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR096W,KIN2,,DMA3184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR095C,IOC2,,DMA3185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR094C,GIS3,,DMA3186,,1339,2,35.3,0.017,0.002,0.273,0.046,0.011,0.003,0.647,0,811,2,21.8,0.043,0.1,0.039,0.782,0.036,1058,2,18.7,0.027,0.046,0.075,0.034,0.813,0.005,1101,2,15,0.005,0.092,0.017,0.03,0.85,0.005
YLR093C,NYV1,,DMA3187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR092W,SUL2,,DMA3188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR091W,GEP5,,DMA3189,,1452,2,47.4,0.019,0.003,0.406,0.034,0.003,0.008,0.526,0.001,968,2,18.6,0.038,0.093,0.037,0.814,0.018,724,2,19.1,0.018,0.055,0.052,0.061,0.809,0.004,1444,2,11.2,0.006,0.073,0.011,0.021,0.888,0.002
YBR162W-A,YSY6,,DMA319,,1510,2,6.6,0.007,0.017,0.002,0.019,0.019,0.003,0.934,0,776,2,20.6,0.049,0.09,0.053,0.794,0.014,1246,2,24.9,0.036,0.096,0.097,0.012,0.751,0.008,1635,2,15.8,0.006,0.044,0.062,0.04,0.842,0.006
YLR090W,XDJ1,,DMA3190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR089C,ALT1,,DMA3191,,156,2,39.7,0.006,0,0.083,0.115,0.16,0.032,0.603,0,245,2,32.2,0.024,0.237,0.037,0.678,0.024,128,2,39.8,0.047,0.156,0.172,0.016,0.602,0.008,122,2,15.6,0.025,0.082,0.049,0,0.844,0
YLR087C,CSF1,,DMA3192,,184,2,35.3,0.022,0,0.038,0.092,0.174,0.027,0.647,0,29,2,55.2,0,0.517,0,0.448,0.034,85,2,51.8,0.153,0.047,0.224,0.071,0.482,0.024,173,2,56.6,0.064,0.15,0.035,0.289,0.434,0.029
YLR114C,AVL9,,DMA3194,,1029,2,9,0.007,0.01,0.002,0.023,0.045,0.004,0.91,0,887,2,17.7,0.024,0.114,0.018,0.823,0.021,1671,2,34.2,0.035,0.137,0.154,0.011,0.658,0.005,1976,2,18.6,0.004,0.042,0.041,0.09,0.814,0.009
YLR113W,HOG1,,DMA3195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR112W,,,DMA3196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR111W,,,DMA3197,,481,2,14.1,0.01,0.017,0.002,0.017,0.091,0.004,0.859,0,502,2,27.5,0.03,0.203,0.034,0.725,0.008,219,2,35.6,0.055,0.082,0.187,0.014,0.644,0.018,516,2,26,0.006,0.039,0.085,0.124,0.74,0.006
YLR110C,CCW12,,DMA3198,,386,2,26.2,0.031,0.021,0,0.044,0.161,0.005,0.738,0,152,2,40.8,0.125,0.178,0.059,0.592,0.046,367,2,32.4,0.035,0.084,0.12,0.079,0.676,0.005,326,2,32.2,0.015,0.086,0.095,0.113,0.678,0.012
YLR109W,AHP1,,DMA3199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAL022C,FUN26,,DMA32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR162C,TOS1,,DMA320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR108C,,,DMA3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR107W,REX3,,DMA3201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR104W,LCL2,,DMA3202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR102C,APC9,,DMA3203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR099C,ICT1,,DMA3204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR130C,ZRT2,,DMA3206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR128W,DCN1,,DMA3207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR126C,,,DMA3208,,2180,2,9.9,0.007,0.028,0.005,0.022,0.032,0.003,0.901,0.001,1074,2,22,0.047,0.111,0.033,0.78,0.029,1125,2,33.7,0.016,0.276,0.032,0.011,0.663,0.003,596,2,14.1,0.003,0.042,0.057,0.037,0.859,0.002
YLR125W,,,DMA3209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR161W,CSH1,,DMA321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR124W,,,DMA3210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR123C,,,DMA3211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR122C,,,DMA3212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR121C,YPS3,,DMA3213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR120C,YPS1,,DMA3214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR119W,SRN2,,DMA3215,,673,2,75.6,0.361,0.013,0.004,0.293,0.077,0.004,0.244,0.003,1271,2,27,0.017,0.241,0.002,0.73,0.009,359,2,65.7,0.524,0.058,0.036,0.028,0.343,0.011,577,2,20.1,0.003,0.132,0.016,0.042,0.799,0.009
YLR118C,,,DMA3216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR146C,SPE4,,DMA3218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR144C,ACF2,,DMA3219,,1148,2,11.1,0.012,0.011,0.009,0.018,0.058,0.002,0.889,0,194,1,19.1,0.005,0.139,0.036,0.809,0.01,763,2,32.1,0.025,0.227,0.055,0.012,0.679,0.003,872,2,17,0.007,0.053,0.038,0.069,0.83,0.003
YBR159W,IFA38,,DMA322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR143W,DPH6,,DMA3220,,1303,2,7.8,0.007,0.004,0.012,0.025,0.029,0.001,0.922,0,876,2,23.2,0.075,0.081,0.046,0.768,0.03,749,2,17.6,0.044,0.073,0.039,0.016,0.824,0.004,1197,2,11.9,0.007,0.038,0.041,0.03,0.881,0.003
YLR142W,PUT1,,DMA3221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR138W,NHA1,,DMA3222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR137W,RKM5,,DMA3223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR136C,TIS11,,DMA3224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR135W,SLX4,,DMA3225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR134W,PDC5,,DMA3226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR133W,CKI1,,DMA3227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR131C,ACE2,,DMA3228,,658,2,12.3,0.012,0.055,0,0.02,0.032,0.005,0.877,0,226,2,18.1,0.031,0.102,0.035,0.819,0.013,191,2,35.1,0.005,0.042,0.293,0.005,0.649,0.005,516,2,55.2,0.002,0.014,0.058,0.473,0.448,0.006
YBR158W,AMN1,,DMA323,,568,2,25,0.005,0,0.037,0.046,0.074,0.088,0.75,0,820,2,27.9,0.022,0.172,0.044,0.721,0.041,695,2,25.2,0.039,0.104,0.075,0.023,0.748,0.012,904,2,11,0.001,0.031,0.029,0.041,0.89,0.008
YLR171W,,,DMA3230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR170C,APS1,,DMA3231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR169W,,,DMA3232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR168C,UPS2,,DMA3233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR165C,PUS5,,DMA3234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR164W,SHH4,,DMA3235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR154C,RNH203,,DMA3236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR152C,,,DMA3237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR151C,PCD1,,DMA3238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR150W,STM1,,DMA3239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR157C,ICS2,,DMA324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR149C,,,DMA3240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR183C,TOS4,,DMA3242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR182W,SWI6,,DMA3243,,616,2,38.3,0.01,0.005,0.119,0.088,0.117,0.045,0.617,0,12,1,58.3,0,0.583,0,0.417,0,268,2,36.2,0.037,0.06,0.123,0.131,0.638,0.011,513,2,35.5,0.01,0.255,0.016,0.062,0.645,0.012
YLR181C,VTA1,,DMA3244,,932,2,33.9,0.139,0.015,0.031,0.103,0.048,0.002,0.661,0,803,2,32.3,0.022,0.227,0.049,0.677,0.025,502,2,39,0.09,0.078,0.153,0.06,0.61,0.01,150,2,34.7,0,0.033,0.067,0.227,0.653,0.02
YLR180W,SAM1,,DMA3245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR179C,,,DMA3246,,915,2,6.1,0.005,0.009,0.007,0.015,0.022,0.002,0.939,0.001,713,2,22.3,0.049,0.122,0.027,0.777,0.025,742,2,26.8,0.039,0.098,0.116,0.011,0.732,0.004,898,2,19.5,0.01,0.048,0.048,0.084,0.805,0.006
YLR178C,TFS1,,DMA3247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR177W,,,DMA3248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR176C,RFX1,,DMA3249,,2067,2,8.9,0.009,0.015,0.004,0.013,0.047,0,0.911,0,836,2,20,0.036,0.103,0.039,0.8,0.022,567,2,21.7,0.034,0.078,0.088,0.014,0.783,0.004,1168,2,19.7,0.011,0.041,0.068,0.071,0.803,0.005
YLR174W,IDP2,,DMA3250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR173W,,,DMA3251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR172C,DPH5,,DMA3252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR199C,PBA1,,DMA3254,,1235,2,16.7,0.015,0.009,0.025,0.049,0.062,0.006,0.833,0.001,1393,2,20.7,0.034,0.104,0.045,0.793,0.023,922,2,24.4,0.035,0.088,0.101,0.017,0.756,0.003,776,2,17.3,0.009,0.045,0.052,0.066,0.827,0.001
YLR194C,,,DMA3255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR193C,UPS1,ups1-supp1,DMA3256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR192C,HCR1,,DMA3257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR191W,PEX13,,DMA3258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR190W,MMR1,,DMA3259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR182C,SMP1,,DMA326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR189C,ATG26,,DMA3260,,1982,2,12,0.009,0.014,0.003,0.025,0.068,0.001,0.88,0.001,1146,2,21.2,0.014,0.178,0.011,0.788,0.009,818,2,23.7,0.028,0.112,0.081,0.007,0.763,0.009,1484,2,18.4,0.003,0.042,0.067,0.069,0.816,0.002
YLR188W,MDL1,,DMA3261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR187W,SKG3,,DMA3262,,1674,2,9.3,0.017,0.032,0.002,0.021,0.021,0,0.907,0,779,2,20.8,0.039,0.1,0.04,0.792,0.03,699,2,27.6,0.052,0.094,0.09,0.03,0.724,0.01,1819,2,17.8,0.007,0.024,0.091,0.053,0.822,0.004
YLR185W,RPL37A,,DMA3263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR184W,,,DMA3264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR217W,,,DMA3265,,1714,2,9.9,0.008,0.006,0.006,0.026,0.051,0.001,0.901,0,874,2,25.6,0.057,0.142,0.03,0.744,0.027,1049,2,20.5,0.031,0.075,0.082,0.013,0.795,0.003,876,2,13.4,0.011,0.034,0.053,0.031,0.866,0.005
YLR216C,CPR6,,DMA3266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR214W,FRE1,,DMA3267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR213C,CRR1,,DMA3268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR211C,ATG38,,DMA3269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR181C,RPS6B,,DMA327,,405,2,12.6,0.025,0,0.072,0.017,0.01,0.002,0.874,0,427,2,24.1,0.061,0.11,0.042,0.759,0.028,379,2,16.6,0.026,0.04,0.021,0.074,0.834,0.005,568,2,25.7,0.007,0.187,0.028,0.028,0.743,0.007
YLR210W,CLB4,,DMA3270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR209C,PNP1,,DMA3271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR207W,HRD3,,DMA3272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR206W,ENT2,,DMA3273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR205C,HMX1,,DMA3274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR200W,YKE2,,DMA3275,,1459,2,6.6,0.01,0.006,0.002,0.016,0.029,0.002,0.934,0,296,1,13.2,0.027,0.078,0.014,0.868,0.014,1512,2,30.4,0.03,0.132,0.118,0.013,0.696,0.011,1742,2,13.7,0.007,0.022,0.063,0.041,0.863,0.003
YLR234W,TOP3,top3-supp1,DMA3277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR233C,EST1,,DMA3278,,684,2,21.1,0.02,0.004,0.05,0.047,0.082,0.006,0.789,0.001,765,2,94.1,0.022,0.043,0.875,0.059,0.001,545,2,30.5,0.029,0.108,0.141,0.015,0.695,0.011,300,2,49.7,0.057,0.36,0.03,0.043,0.503,0.007
YLR232W,,,DMA3279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR180W,DTR1,,DMA328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR231C,BNA5,,DMA3280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR228C,ECM22,,DMA3281,,2069,2,10.1,0.006,0.014,0.01,0.026,0.043,0.003,0.899,0,498,2,20.1,0.056,0.096,0.034,0.799,0.014,300,2,14.3,0.013,0.06,0.047,0.023,0.857,0,791,2,18.1,0.006,0.052,0.063,0.054,0.819,0.005
YLR225C,,,DMA3282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR224W,,,DMA3283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR221C,RSA3,,DMA3284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR220W,CCC1,,DMA3285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR219W,MSC3,,DMA3286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR218C,COA4,,DMA3287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR251W,SYM1,,DMA3289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR178W,,,DMA329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR250W,SSP120,,DMA3290,,1515,2,11.5,0.008,0.016,0.007,0.036,0.045,0.003,0.885,0,803,1,26,0.052,0.115,0.05,0.74,0.044,801,2,24.5,0.039,0.107,0.075,0.016,0.755,0.007,816,2,14.1,0.01,0.05,0.036,0.043,0.859,0.002
YLR248W,RCK2,,DMA3291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR247C,IRC20,,DMA3292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR246W,ERF2,,DMA3293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR242C,ARV1,,DMA3294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR241W,CSC1,,DMA3295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR239C,LIP2,,DMA3296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR237W,THI7,,DMA3297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR236C,,,DMA3298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR235C,,,DMA3299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAL020C,ATS1,,DMA33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR177C,EHT1,,DMA330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR264W,RPS28B,,DMA3301,,613,2,14.4,0.01,0.003,0.059,0.023,0.046,0.003,0.856,0,623,2,33.5,0.087,0.133,0.071,0.665,0.045,365,2,20.8,0.03,0.047,0.06,0.066,0.792,0.005,622,2,22.3,0.003,0.167,0.04,0.008,0.777,0.005
YLR263W,RED1,,DMA3302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR262C-A,TMA7,,DMA3303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR262C,YPT6,,DMA3304,,468,2,29.9,0,0.009,0.004,0.115,0.165,0.006,0.701,0,127,2,80.3,0.031,0.693,0.047,0.197,0.031,149,2,67.1,0.04,0.262,0.356,0,0.329,0.013,249,2,76.7,0.012,0.012,0.201,0.534,0.233,0.008
YLR261C,VPS63,,DMA3305,,452,2,49.6,0.007,0.027,0.011,0.338,0.102,0.011,0.504,0,749,1,99.1,0.008,0.02,0.96,0.009,0.003,246,2,47.2,0.077,0.11,0.28,0.004,0.528,0,505,2,67.1,0.063,0.012,0.143,0.43,0.329,0.024
YLR258W,GSY2,,DMA3306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR257W,,,DMA3307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR255C,,,DMA3308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR254C,NDL1,,DMA3309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YBR176W,ECM31,,DMA331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR253W,MCP2,,DMA3310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR252W,,,DMA3311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR281C,,,DMA3313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR280C,,,DMA3314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR279W,,,DMA3315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YLR278C,,,DMA3316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
